Date,Client_Future Index Long,Client_Future Index Short,Client_Option Index Call Long,Client_Option Index Put Long,Client_Option Index Call Short,Client_Option Index Put Short,DII_Future Index Long,DII_Future Index Short,DII_Option Index Call Long,DII_Option Index Put Long,DII_Option Index Call Short,DII_Option Index Put Short,FII_Future Index Long,FII_Future Index Short,FII_Option Index Call Long,FII_Option Index Put Long,FII_Option Index Call Short,FII_Option Index Put Short,Total Call Options - Open Interest BANK NIFTY INDEX,Total Put Options - Open Interest BANK NIFTY INDEX,Total Futures - Open Interest BANK NIFTY INDEX,Price - BANK NIFTY INDEX,Returns - BANK NIFTY INDEX,NSE VIX - India,is_expiry,Total_OI
7/18/2024,298497,552983,3136948,3993524,3654178,4393419,77624,159667,2078,386492,0,0,513008,122921,827162,876804,591217,799673,3146625,2702139,161999,52278.9,0.00015782,13.725,0,26320556
7/19/2024,304064,516200,5008277,4008943,5161263,4747821,78575,160851,2078,345529,0,0,489283,131263,1210053,1333071,969224,1048405,3402651,3828871,169369,52455.9,0.003379969,14.1875,0,32549952
7/22/2024,304492,497426,5508399,4542808,5590605,5063805,81205,149253,2078,410861,0,0,476829,138905,1620443,1399484,1281276,1067192,5676863,4218822,163407,52396.8,-0.001127296,14.2225,0,35368354
7/23/2024,320979,441128,8410561,5433430,8124787,5915712,71085,149407,2078,384911,0,0,441562,158409,1747636,1553080,1567804,1283961,1633907,1734690,164359,52620.7,0.004264058,14.51,0,44578232
7/24/2024,381362,436445,7520121,5316142,7542836,6013619,72928,149407,2198,386778,0,0,438666,198571,1603352,1746173,1246199,1280788,2315323,1748780,158772,52265.6,-0.006771168,14.825,0,41876660
7/25/2024,394724,385894,4565194,3814384,4662555,4292911,72678,151347,2078,296904,0,0,262243,199827,950898,1007710,741993,945977,2734842,1955467,152627,52280.4,0.000283129,15.4375,0,29080074
7/26/2024,387378,440241,5439361,6223938,5947421,6613926,72857,152307,2078,307299,0,0,326678,194501,1557049,1723392,1229605,1517789,4916491,2772272,152439,51778.3,-0.009650397,12.7475,0,40211632
7/29/2024,396842,442504,7722111,6506877,7730769,6940535,72746,151987,2078,327299,0,0,321947,170510,1633978,1676123,1379697,1501404,6276879,4791600,170963,51317,-0.008949061,11.7625,0,46479702
7/30/2024,398528,451971,7319590,6973306,7505151,7337149,72646,151859,2078,322299,0,0,324153,166636,1545390,1743688,1226422,1519269,2852491,2210794,211927,50888.75,-0.008380204,12.6175,0,46190368
7/31/2024,404932,472726,5496277,6108559,5827433,6572582,72616,154359,2078,322299,0,0,319067,174847,1292186,1828682,927760,1404799,3234772,2815059,215437,51295.95,0.007969924,12.2475,0,38826958
8/1/2024,410715,497224,4825018,4277159,4969949,4775289,72839,154359,2078,351859,0,0,337499,171220,957581,1090867,783617,948168,4559645,3227262,203512,51406.25,0.002147959,12.945,0,31918966
8/2/2024,413211,462319,7301390,4963169,7510538,5885873,67876,158263,2078,381379,0,0,336062,190953,1624168,1625636,1255456,1152001,4975333,3813022,196167,51499.3,0.001808455,12.88,0,42090030
8/5/2024,407281,430000,9350891,5158834,8946976,5799666,70103,161023,2078,405678,0,0,324939,214754,1821325,1762677,1611687,1393161,6827318,5702880,227457,51553.4,0.001049948,13.25,0,47237790
8/6/2024,395818,390344,10039718,5281826,9795711,6255077,70333,150171,2078,408374,0,0,305277,226558,2274269,2064652,1747500,1314270,3026043,2160425,179244,51564,0.000205591,12.93,0,50399166
8/7/2024,375378,365973,7384830,5252724,7636884,6379933,70431,150571,2078,425772,0,0,300216,236235,1864898,2167622,1217631,1209536,3350834,2634075,187695,51350.15,-0.004155897,14.32,0,43308156
8/8/2024,396055,345219,4972176,3653417,5029885,4663598,70381,150571,2078,400995,0,0,268276,253383,915306,1395899,716365,882922,4430691,2632904,214011,50092.1,-0.024804546,20.3675,0,31209454
8/9/2024,361096,322870,6126851,5088320,6289085,6049947,69029,150571,2078,414523,0,0,271393,249116,1210068,1604862,991383,1114768,5745772,3294279,222349,49748.3,-0.006887019,18.7425,0,38089792
8/12/2024,374996,318994,7335644,6385865,7478930,7174442,69070,150571,2078,403823,0,0,266312,251257,1262016,1617167,1097735,1255715,6023632,5227634,223058,50119,0.007423886,16.17,1,44185952
8/13/2024,428637,341414,10031942,5601805,9752313,6572854,69089,152701,2078,376323,0,0,261196,282432,1835619,2007677,1582070,1483557,2489661,2133530,223190,50156.7,0.000751927,16.6025,0,50909158
8/14/2024,425132,335491,4359839,3314956,4520622,4354835,69295,153689,2078,355099,0,0,261114,291661,939632,1317975,682482,806546,2889318,2603196,213102,50484.5,0.006514254,15.335,0,28561540
8/16/2024,376101,317560,5298129,6147930,5842106,6778279,69813,153689,2078,355099,0,0,279636,275377,1341930,1689840,1067527,1293999,3215972,3188501,208836,50577.95,0.001849352,15.8675,0,39387116
8/19/2024,388516,317484,7242301,6496519,7339969,7149756,80231,151689,2078,352599,0,0,275278,275628,1383243,1663947,1308158,1317735,5598774,3342206,253488,49831.85,-0.014861373,16.1675,0,44079094
8/20/2024,363843,327975,6572811,7297752,6860785,7800169,81263,147489,2078,352599,0,0,283734,257500,1393095,1810866,1217154,1413656,6294999,4664610,265196,49727.3,-0.00210026,15.435,0,44293438
8/21/2024,375085,334124,5783153,6299637,6133731,6927346,80860,147489,2078,355099,0,0,281160,263392,1325995,1772511,1028972,1289901,2647921,2740113,240294,50516.9,0.015753856,14.4025,0,39680346
8/22/2024,369050,331943,4376782,4642934,4715721,5318498,80787,147498,2078,355099,0,0,283337,258468,1009143,1436608,716861,995407,3711483,2912176,253129,50368.35,-0.002944932,14.315,0,31620330
8/23/2024,372036,337614,5688440,5336193,6004393,6172487,80703,147498,2078,447870,0,0,291135,265518,1446915,1817534,1234325,1414598,3948211,4004447,233069,50803.15,0.008595359,13.82,0,38889092
8/26/2024,364715,348870,6535564,6880616,7023864,7586580,80516,146298,2078,448370,0,0,308522,251173,1678903,2004639,1416903,1492532,6560036,5367827,238017,50685.55,-0.0023175,13.3325,0,45189484
8/27/2024,345981,345438,6843569,6888718,7201070,7591268,83133,145898,2078,453370,0,0,325809,239523,1628043,1962509,1451797,1474702,2672663,2499593,228782,50985.7,0.005904341,13,0,45464588
8/28/2024,305943,353851,5915144,6053531,6309708,6908486,85564,144042,2078,436634,0,0,358331,224165,1397162,2066482,1160514,1520074,3076038,2646864,220353,50933.45,-0.001025323,13.5525,0,40827410
8/29/2024,265869,387098,4098834,4161849,4550850,4842998,83646,139836,2078,321334,0,0,373947,163803,926698,1353418,732006,971963,3816304,3051709,223289,51148.1,0.004205467,13.795,0,30030554
8/30/2024,274160,418679,5397270,6211302,6000012,6794416,89823,140636,2078,341493,0,0,399075,155650,1401593,1839486,1021925,1404121,4380965,3835461,210103,51278.75,0.00255109,13.6325,0,40320172
9/2/2024,289182,429309,7204388,6905155,7576150,7604881,108170,140636,2078,417306,0,0,408720,175482,1559763,1885213,1254840,1441298,7122013,6392985,234376,51143.85,-0.002634186,13.95,0,46839712
9/3/2024,294798,435462,6743540,7230386,7325079,7855042,103103,151252,2078,425568,0,0,415094,176639,1545081,2030474,1239949,1586130,2530496,2113369,170551,51152.75,0.000174004,13.7875,0,47104670
9/4/2024,312902,422885,6754528,6004335,7279762,6992458,103103,149652,2078,558068,0,0,408535,188820,1558146,1900875,1076380,1307350,2963508,2720564,168376,51351,0.003868156,13.3925,0,43983918
9/5/2024,312228,402921,4709685,4338582,5177916,5350363,102894,164934,2078,601068,0,0,393437,184102,1122360,1444659,769546,1036981,3703631,3279292,168860,51439.55,0.001722921,14.06,0,34206556
