Date,Client_Future Index Long,Client_Future Index Short,Client_Option Index Call Long,Client_Option Index Put Long,Client_Option Index Call Short,Client_Option Index Put Short,DII_Future Index Long,DII_Future Index Short,DII_Option Index Call Long,DII_Option Index Put Long,DII_Option Index Call Short,DII_Option Index Put Short,FII_Future Index Long,FII_Future Index Short,FII_Option Index Call Long,FII_Option Index Put Long,FII_Option Index Call Short,FII_Option Index Put Short,Total Call Options - Open Interest BANK NIFTY INDEX,Total Put Options - Open Interest BANK NIFTY INDEX,Total Futures - Open Interest BANK NIFTY INDEX,Price - BANK NIFTY INDEX,Returns - BANK NIFTY INDEX,NSE VIX - India,is_expiry,Total_OI
6/9/2025,193456,126885,2154753,2314415,2385323,2417131,82151,39725,70,11201,0,0,31072,126944,581994,551372,460206,422916,525286,453107,70205,55599.95,-0.005442899,16.555,0,15747564
6/10/2025,193068,123968,2477292,2448518,2661802,2596742,80452,40925,70,11201,0,0,30942,123966,620905,599786,504331,444525,603940,489074,70900,55676.85,0.001382139,15.745,0,17057342
6/11/2025,190746,129409,2532507,2529764,2935536,2866397,78822,42740,70,11201,0,0,34473,121022,746366,706236,470490,407558,605949,500351,70993,55760.85,0.001507569,15.0825,0,18299474
6/12/2025,197044,123776,1771358,1436759,1939892,1720936,80391,37140,70,14534,0,0,31951,131429,486799,538638,326817,317039,626149,637485,77251,56578.4,0.014555277,14.63,0,12110398
6/13/2025,200462,123905,2117643,1651481,2408089,1925375,87622,34557,70,15534,0,0,32115,136324,539681,593490,374625,382522,651285,675498,77316,56839.6,0.004605979,14.6925,0,14143704
6/16/2025,192737,127208,2059590,2276181,2522177,2484157,86414,39787,70,15546,0,0,34514,136257,555120,618169,391924,435136,673799,659858,76089,56629.1,-0.003710279,14.015,0,16018252
6/17/2025,195916,125829,2592938,2214510,2907746,2475071,86182,39912,70,15887,0,0,35733,135216,576913,619198,399897,409605,710248,679446,75312,56459.75,-0.002994992,13.6675,1,16987846
6/18/2025,193128,124467,2976965,2247764,3264023,2501852,86174,43628,70,15887,0,0,34368,133501,592784,618216,461945,438128,763641,627721,74635,56082.55,-0.006703282,14.015,0,18254586
6/19/2025,189943,126090,1710563,1518690,2010172,1786090,86051,43811,70,15887,0,0,39173,136135,498768,536702,296620,308294,828297,600771,76247,55527.35,-0.00994902,15.08,0,12350902
6/20/2025,184737,126982,1827905,2124806,2306888,2368944,81593,51037,70,15887,0,0,43734,140102,607315,649320,452592,481610,825953,652561,74580,55944.9,0.007491586,14.8375,0,15488866
6/23/2025,184906,116906,2252504,2271075,2699373,2601933,80448,48021,70,23487,0,0,42664,145371,615273,704144,436532,487740,887887,649827,74639,55714.15,-0.004133124,14.4025,0,16762774
6/24/2025,186962,115164,2675707,2310902,3061143,2595797,77256,42747,70,25187,0,0,46141,155612,657824,684667,579392,552240,896141,699138,73651,55828.75,0.002054816,14.275,0,18355794
6/25/2025,179448,123519,2432787,2830335,2913816,3149028,75682,45247,70,25187,0,0,46451,153321,715457,810579,557900,629518,988157,701167,72594,55577.45,-0.004511426,14.255,0,19863222
6/26/2025,144501,125452,992505,1384850,1247146,1545876,76126,47899,70,14983,0,0,54903,89870,315340,367235,241900,290294,902297,823988,74022,56252.85,0.012079163,13.6725,0,9231554
6/27/2025,148580,132231,1388749,1952303,1725562,2081252,78508,49599,70,18383,0,0,55702,89220,355675,393527,312628,353081,944437,867716,71606,56059.35,-0.003445756,14.0475,0,12172492
6/30/2025,138935,129345,2212116,1903694,2476424,2082769,78304,48099,70,18383,0,0,51034,89157,375104,390817,378882,373472,955437,871027,68577,56461.9,0.007155123,13.6425,0,14398280
7/1/2025,136360,130815,2435107,2109566,2656126,2394441,77978,48099,70,18383,0,0,53195,91901,407878,485234,377479,351068,1002461,986272,73630,56621.15,0.002816516,12.9625,0,15597950
7/2/2025,141425,123767,2917744,2155281,2946503,2397570,76861,45420,70,17583,0,0,49508,98729,415581,472715,476704,329703,1079784,1132340,89159,57206.7,0.010288434,12.59,0,17013226
7/3/2025,146071,120524,1481071,1236522,1563052,1547582,76337,42920,70,17583,0,0,43723,105530,267140,374127,218601,210180,325723,369628,71282,57443.9,0.004137795,12.3875,0,10078248
