Model,Dependent_Variable,Independent_Variable,Coefficient,Std_Error,t_value,p_value,CI_Lower,CI_Upper,Significant_5%,Significant_10%,Is this model significant overall (F-test p<0.05)?
X4: Expiry Dynamics,Retail_Put_Share,Returns - BANK NIFTY INDEX,0.004109191091553742,0.00352107383169578,1.167027812528066,0.24476017217795965,-0.0028392287150695774,0.011057610898177061,No,No,No
X4: Expiry Dynamics,Retail_Put_Share,Days_To_Expiry,0.0012782244127294545,0.002098201716252214,0.6091999652981914,0.5431686623467316,-0.0028623267544343597,0.005418775579893269,No,No,No
X4: Expiry Dynamics,Retail_Put_Share,is_expiry,0.011724815229711735,0.020105584942327295,0.5831621046263649,0.5605222899618303,-0.0279511618484891,0.05140079230791257,No,No,No
X5: Comprehensive,Retail_Share,DayOfWeek,0.01616260490261545,0.1478708354065774,0.10930218158418904,0.9130873384227434,-0.2756655737104495,0.3079907835156804,No,No,Yes
X5: Comprehensive,Retail_Share,NSE VIX - India,-0.9853579730859048,0.2540575715706511,-3.878483002864906,0.0001483093886464388,-1.4867493270365815,-0.4839666191352281,Yes,Yes,Yes
X5: Comprehensive,Retail_Share,Returns_Lag1,-0.12640585225521495,0.16016751338075388,-0.7892103060545121,0.43105097484628774,-0.4425019477048118,0.18969024319438194,No,No,Yes
X5: Comprehensive,Retail_Share,FII_Net_Position,-0.706245412653409,0.22659977433557307,-3.1167083670945126,0.0021363031429050736,-1.1534478595501174,-0.25904296575670066,Yes,Yes,Yes
X5: Comprehensive,Retail_Share,Market_Stress,0.2739125949145915,0.6294830170884123,0.4351389751252335,0.663994673982848,-0.968393785783634,1.516218975612817,No,No,Yes
X5: Comprehensive,Retail_Share,Days_To_Expiry,-0.10450661124710076,0.08977471524715708,-1.1640984987742435,0.24595969900705297,-0.2816800989334972,0.07266687643929573,No,No,Yes
X5: Comprehensive,Retail_Short_Ratio,DayOfWeek,-0.00040135141104873876,0.0007178644677506602,-0.5590907881348745,0.5768104742586164,-0.0018180816238638755,0.001015378801766398,No,No,Yes
X5: Comprehensive,Retail_Short_Ratio,NSE VIX - India,-0.00107204879662956,0.0012333662881671822,-0.8692055287344163,0.3859185286379887,-0.0035061395789595514,0.0013620419857004315,No,No,Yes
X5: Comprehensive,Retail_Short_Ratio,Returns_Lag1,-0.0022931029376109385,0.0007775608112842738,-2.949097876760905,0.0036201924311016743,-0.003827645937209718,-0.0007585599380121588,Yes,Yes,Yes
X5: Comprehensive,Retail_Short_Ratio,FII_Net_Position,0.004235518922132513,0.0011000676769598497,3.8502348635838537,0.00016499474888090495,0.0020644975328530774,0.006406540311411949,Yes,Yes,Yes
X5: Comprehensive,Retail_Short_Ratio,Market_Stress,0.001968452117570768,0.0030559338477920894,0.6441409453260821,0.5203226100804101,-0.004062538417588624,0.00799944265273016,No,No,Yes
X5: Comprehensive,Retail_Short_Ratio,Days_To_Expiry,0.0013228417753939964,0.0004358268349615402,3.0352462704843113,0.00276812461544932,0.0004627225295141844,0.0021829610212738084,Yes,Yes,Yes
X5: Comprehensive,Retail_Put_Share,DayOfWeek,-0.0030376251089702594,0.00325854579122307,-0.9322026767744486,0.35250881451023763,-0.009468477281849772,0.003393227063909254,No,No,Yes
X5: Comprehensive,Retail_Put_Share,NSE VIX - India,-0.016515036046953674,0.005598522712701706,-2.949891765105287,0.003611346705167408,-0.027563913140799735,-0.005466158953107612,Yes,Yes,Yes
X5: Comprehensive,Retail_Put_Share,Returns_Lag1,-0.0020708346844791198,0.0035295207143619433,-0.5867183824853907,0.5581446661149615,-0.009036465186378035,0.004894795817419796,No,No,Yes
X5: Comprehensive,Retail_Put_Share,FII_Net_Position,0.022527761454604577,0.004993450797265431,4.511461586232407,1.1735576170104024e-05,0.012673014592904564,0.03238250831630459,Yes,Yes,Yes
X5: Comprehensive,Retail_Put_Share,Market_Stress,-0.0022850869703733012,0.013871560476005853,-0.1647317887793446,0.869344139319852,-0.02966108858085521,0.025090914640108607,No,No,Yes
X5: Comprehensive,Retail_Put_Share,Days_To_Expiry,0.0013718204621624712,0.00197831451836013,0.6934289009310837,0.48895454071740785,-0.002532451269510857,0.005276092193835799,No,No,Yes
